cards_initial,moves_initial,hand1_cards,hand2_cards,moves_1,moves_2,dealer_hand,money
"['J', 5]",['S'],[],[],[],[],"['J', 'Q']",-100
"[9, 4]",['S'],[],[],[],[],"[2, 3, 8, 10]",100
"['A', 'Q', 'J', 3]","['H', 'DD']",[],[],[],[],"['K', 9]",-200
"[2, 4]",['S'],[],[],[],[],"[8, 10]",-100
"[3, 9]",['S'],[],[],[],[],"[7, 10]",-100
"[6, 10, 2]",['DD'],[],[],[],[],"[3, 'A', 'K', 8]",-200
"[10, 2, 7]",['DD'],[],[],[],[],"[7, 3, 5, 8]",200
"[8, 'A']",['S'],[],[],[],[],"[5, 3, 7, 'Q']",100
"[2, 8, 'A']",['DD'],[],[],[],[],"['Q', 7]",-200
"['A', 7]",['S'],[],[],[],[],"['A', 'K', 5, 8]",100
"[2, 'K', 'J', 'A', 'Q']","['H', 'H', 'DD']",[],[],[],[],"[9, 'Q']",-200
"[7, 2]",['S'],[],[],[],[],"[6, 6, 4, 'J']",100
"[10, 5]",['S'],[],[],[],[],"[8, 4, 9]",-100
"[5, 5]",['P'],"[5, 10, 6, 'A']","[5, 'A']","['H', 'H', 'DD']",['DD'],"[9, 10]",0
"[2, 2, 'A']",['DD'],[],[],[],[],"['K', 'J']",-200
"[7, 6, 'K']",['DD'],[],[],[],[],"['Q', 'K']",-200
"['J', 'A', 7]",['DD'],[],[],[],[],"[5, 9, 5]",-200
"[10, 'J']",['P'],[10],"['J', 7]",['S'],['DD'],"['K', 'K']",-300
"['Q', 'J']",['P'],"['Q', 'A', 'Q']",['J'],"['H', 'H', 'S']",['S'],"[2, 'Q', 4, 8]",200
"[9, 4]",['S'],[],[],[],[],"[10, 9]",-100
"[8, 8]",['P'],"[8, 'Q', 5]","[8, 4, 6, 7]","['H', 'H', 'S']","['H', 'H', 'H', 'S']","[9, 8]",-200
"[10, 5, 9]",['DD'],[],[],[],[],"[9, 2, 9]",-200
"['A', 3]",['S'],[],[],[],[],"[10, 8]",-100
"['J', 8, 10]","['H', 'S']",[],[],[],[],"[10, 2, 6]",-100
"['K', 6]",['S'],[],[],[],[],"[7, 10]",-100
"[5, 'A']",['S'],[],[],[],[],"[3, 10, 9]",100
"[8, 'K']",['S'],[],[],[],[],"[2, 'Q', 3, 'Q']",100
"['J', 7, 2]",['DD'],[],[],[],[],"[6, 2, 3, 6]",200
"['Q', 4, 2]",['DD'],[],[],[],[],"['K', 2, 'J']",200
"['J', 'Q']",['S'],[],[],[],[],"[9, 6, 'J']",100
"[6, 'J']",['S'],[],[],[],[],"['Q', 3, 9]",100
"[7, 'A', 5, 'J']","['H', 'DD']",[],[],[],[],"[9, 2, 3, 2, 'Q']",-200
"['A', 2, 7]",['DD'],[],[],[],[],"['K', 'A', 6, 8]",200
"[3, 'K', 'A', 9]","['H', 'DD']",[],[],[],[],"[9, 3, 'J']",-200
"[6, 5, 10]",['DD'],[],[],[],[],"[9, 'Q']",200
"[9, 2, 7]",['DD'],[],[],[],[],"[7, 6, 7]",-200
"['A', 7, 9]",['DD'],[],[],[],[],"['K', 6, 'K']",200
"[10, 8, 5, 6]","['H', 'DD']",[],[],[],[],"[4, 7, 'A', 4, 'J']",-200
"[8, 'J']",['S'],[],[],[],[],"['K', 5, 7]",100
"['J', 4]",['S'],[],[],[],[],"[6, 8, 10]",100
"['A', 8, 5]",['DD'],[],[],[],[],"[10, 3, 7]",-200
"[8, 5, 6]",['DD'],[],[],[],[],"[4, 7, 9]",-200
"[9, 5]",['S'],[],[],[],[],"[2, 7, 5, 4]",-100
"[5, 'K']",['S'],[],[],[],[],"[8, 'K']",-100
"[7, 3, 6]",['DD'],[],[],[],[],"[8, 'Q']",-200
"['J', 'J']",['S'],[],[],[],[],"[3, 7, 'K']",0
"['Q', 8, 6]","['H', 'S']",[],[],[],[],"['K', 'A', 9]",-100
"['Q', 7, 6]",['DD'],[],[],[],[],"['A', 6, 7, 2, 8]",-200
"[8, 10]",['S'],[],[],[],[],"[9, 'A', 4, 3, 'J']",100
"['J', 6]",['S'],[],[],[],[],"[7, 10]",-100
"['A', 'J', 10]",['DD'],[],[],[],[],"[10, 5, 2]",200
"[2, 'K']",['S'],[],[],[],[],"['Q', 5, 9]",100
"[10, 6, 3]",['DD'],[],[],[],[],"[10, 6, 'Q']",200
"[4, 8, 10]",['DD'],[],[],[],[],"[4, 'K', 6]",-200
"[7, 5, 8, 'A']","['H', 'H', 'S']",[],[],[],[],"['J', 4, 'Q']",100
"['A', 8, 6, 10]","['H', 'DD']",[],[],[],[],"['Q', 'J']",-200
"[3, 10, 9]",['DD'],[],[],[],[],"[8, 10]",-200
"['J', 5, 2]",['DD'],[],[],[],[],"[9, 9]",-200
"[8, 7, 4, 2]","['H', 'H', 'S']",[],[],[],[],"['Q', 'J']",100
"[7, 8, 5, 8, 10]","['H', 'H', 'DD']",[],[],[],[],"[5, 'Q', 'Q']",-200
"[8, 10]",['S'],[],[],[],[],"[9, 'J']",-100
"[6, 5, 4]","['H', 'S']",[],[],[],[],"['A', 8, 'K']",-100
"[10, 7, 2, 10, 5]","['H', 'H', 'DD']",[],[],[],[],"['Q', 'Q']",-200
"['Q', 10]",['P'],"['Q', 7, 9, 8]","[10, 9]","['H', 'H', 'DD']","['H', 'S']","[10, 'K']",-300
"[6, 6, 2, 5]","['H', 'DD']",[],[],[],[],"[9, 10]",0
"[5, 6, 3]",['DD'],[],[],[],[],"['A', 3, 'K', 10]",200
"['K', 6, 7, 3, 7, 3]","['H', 'H', 'H', 'DD']",[],[],[],[],"['Q', 5, 8]",-200
"[3, 2, 2]",['DD'],[],[],[],[],"['K', 8]",-200
"['Q', 'J']",['S'],[],[],[],[],"[10, 6, 2]",100
"['Q', 4, 6]",['DD'],[],[],[],[],"[9, 'K']",200
"[9, 5]",['S'],[],[],[],[],"[5, 'Q', 2]",-100
"[6, 'J']",['S'],[],[],[],[],"[4, 4, 9]",-100
